codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0502,Financiamentos à exportação,Adiantamento sobre contratos de câmbio,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0503,Financiamentos à exportação,Adiantamento sobre cambiais entregues,PF,Sem destinação específica,PF - Outros créditos,,,base,
0503,Financiamentos à exportação,Adiantamento sobre cambiais entregues,PF,Com destinação específica,PF - Outros créditos,,,base,
0503,Financiamentos à exportação,Adiantamento sobre cambiais entregues,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0503,Financiamentos à exportação,Adiantamento sobre cambiais entregues,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0504,Financiamentos à exportação,Créd decorrentes de contratos de exportação-export note,PF,Sem destinação específica,PF - Outros créditos,,,base,
0504,Financiamentos à exportação,Créd decorrentes de contratos de exportação-export note,PF,Com destinação específica,PF - Outros créditos,,,base,
0504,Financiamentos à exportação,Créd decorrentes de contratos de exportação-export note,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0504,Financiamentos à exportação,Créd decorrentes de contratos de exportação-export note,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0590,Financiamentos à exportação,Financiamento de projeto,PF,Sem destinação específica,PF - Outros créditos,,,base,
0590,Financiamentos à exportação,Financiamento de projeto,PF,Com destinação específica,PF - Outros créditos,,,base,
0590,Financiamentos à exportação,Financiamento de projeto,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0590,Financiamentos à exportação,Financiamento de projeto,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0599,Financiamentos à exportação,Outros financiamentos à exportação,PF,Sem destinação específica,PF - Outros créditos,,,base,
0599,Financiamentos à exportação,Outros financiamentos à exportação,PF,Com destinação específica,PF - Outros créditos,,,base,
0599,Financiamentos à exportação,Outros financiamentos à exportação,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0599,Financiamentos à exportação,Outros financiamentos à exportação,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0601,Financiamentos à importação,Financiamento à importação,PF,Sem destinação específica,PF - Outros créditos,,,base,
0601,Financiamentos à importação,Financiamento à importação,PF,Com destinação específica,PF - Outros créditos,,,base,
0601,Financiamentos à importação,Financiamento à importação,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0601,Financiamentos à importação,Financiamento à importação,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0701,Financiamentos com interveniência,Aquisição de bens com interveniência - veículos autom.,PF,Sem destinação específica,PF - Veículos,,,base,
0701,Financiamentos com interveniência,Aquisição de bens com interveniência - veículos autom.,PF,Com destinação específica,PF - Veículos,,,base,
